CustomerID,Age,AnnualIncome,SpendingScore,PurchaseFrequency,AvgOrderValue,MembershipLevel,Region,LastPurchaseDays
129,42.0,105.0,37,1,290.2,Platinum,North,79.0
164,24.0,58.2,68,12,192.6,Gold,South,337.0
42,19.0,41.2,85,22,234.1,Gold,East,260.0
119,45.0,79.3,44,6,341.5,Gold,South,314.0
114,42.0,60.5,29,1,285.9,Platinum,South,48.0
27,18.0,35.8,69,21,43.2,Platinum,South,130.0
163,31.0,49.7,74,12,191.3,Silver,South,220.0
101,50.0,107.9,26,7,274.0,Silver,North,233.0
112,42.0,79.1,35,6,283.2,Gold,West,130.0
3,22.0,29.4,82,12,11.0,Gold,South,68.0
78,45.0,89.1,58,8,276.9,Silver,West,213.0
47,20.0,37.6,80,17,165.8,Platinum,East,101.0
190,26.0,36.7,53,11,159.7,Silver,West,288.0
194,41.0,46.9,78,11,92.8,Silver,East,10.0
86,53.0,73.4,46,9,229.7,Silver,South,188.0
136,28.0,41.7,77,15,200.9,Gold,South,8.0
37,28.0,24.7,69,21,71.1,Silver,East,190.0
193,36.0,70.9,61,14,146.4,Silver,East,11.0
62,25.0,50.3,74,22,71.9,Silver,South,92.0
23,18.0,34.7,80,29,72.3,Bronze,North,287.0
133,29.0,48.4,59,9,121.5,Gold,North,69.0
102,42.0,77.9,31,5,266.8,Silver,North,221.0
34,27.0,44.9,98,19,49.9,Silver,South,149.0
12,30.0,24.9,76,21,119.0,Gold,South,334.0
197,37.0,60.1,50,11,149.9,Silver,South,183.0
177,48.0,48.6,55,16,177.3,Platinum,West,119.0
7,,57.2,79,15,112.9,Bronze,North,128.0
28,34.0,25.6,76,23,30.8,Silver,North,267.0
121,49.0,73.9,48,10,316.5,Bronze,West,
5,33.0,32.3,80,14,58.2,Bronze,South,12.0
33,19.0,44.4,91,16,118.5,Gold,West,99.0
144,39.0,56.4,61,10,147.7,Gold,West,133.0
147,34.0,43.3,64,5,191.2,Gold,South,232.0
110,40.0,91.9,37,6,275.8,Silver,South,120.0
146,31.0,55.2,63,9,118.9,Bronze,West,277.0
11,26.0,30.4,73,22,121.2,Gold,East,31.0
63,23.0,48.2,88,23,132.2,Silver,West,14.0
113,46.0,109.9,48,3,348.0,Gold,North,60.0
148,35.0,58.1,69,18,190.6,Silver,East,314.0
168,34.0,73.6,50,15,141.4,Gold,South,360.0
1,27.0,250.0,86,26,70.6,Silver,East,25.0
182,33.0,38.7,67,14,236.5,Gold,South,164.0
155,37.0,48.3,66,15,174.9,Silver,North,261.0
71,46.0,102.7,48,4,299.2,Gold,East,230.0
125,40.0,90.7,58,10,363.7,Silver,South,290.0
65,25.0,42.1,71,28,39.8,Platinum,South,86.0
45,38.0,15.0,86,13,61.1,Silver,East,40.0
143,34.0,53.8,54,13,148.5,Silver,West,17.0
29,26.0,50.7,63,20,90.4,Platinum,South,
41,27.0,41.7,90,24,24.9,Silver,North,97.0
109,,71.4,45,10,201.1,Gold,North,17.0
157,34.0,39.0,63,14,172.4,Platinum,North,352.0
124,45.0,86.3,47,6,309.0,Platinum,East,247.0
181,35.0,50.3,60,17,157.6,Gold,North,149.0
26,38.0,23.1,74,20,59.9,Silver,West,345.0
24,26.0,34.6,68,24,110.1,Bronze,West,5.0
153,29.0,56.5,85,11,196.0,Platinum,East,51.0
149,21.0,39.6,53,12,170.7,Platinum,North,228.0
82,48.0,72.2,38,5,320.6,Gold,East,338.0
40,27.0,24.4,81,20,34.3,Gold,North,252.0
171,29.0,48.3,53,16,206.8,Platinum,North,292.0
48,28.0,15.0,81,17,114.1,Gold,North,359.0
95,43.0,57.4,24,10,365.8,Silver,East,52.0
156,23.0,46.3,57,11,174.8,Gold,South,350.0
44,29.0,25.7,77,18,83.3,Bronze,South,103.0
140,31.0,58.9,47,15,142.6,Bronze,North,43.0
4,21.0,22.8,83,16,23.5,Gold,West,173.0
106,34.0,65.5,40,6,263.8,Silver,South,113.0
54,18.0,54.6,65,18,85.2,Bronze,East,178.0
134,33.0,51.9,75,1,193.7,Platinum,South,87.0
183,31.0,57.6,62,18,146.2,Gold,North,140.0
159,35.0,57.5,62,6,106.8,Bronze,North,320.0
188,29.0,42.7,67,12,127.4,Bronze,West,160.0
50,22.0,29.3,73,27,96.2,Silver,South,221.0
81,35.0,77.8,40,5,282.0,Silver,North,181.0
35,19.0,25.2,79,21,91.1,Gold,South,
8,18.0,37.5,60,14,87.9,Gold,South,96.0
111,45.0,83.1,51,6,313.5,Gold,North,129.0
92,40.0,83.7,29,2,252.1,Bronze,South,282.0
84,40.0,103.6,41,9,302.7,Gold,South,160.0
179,37.0,61.1,70,16,205.3,Silver,East,255.0
184,34.0,62.3,61,10,157.8,Silver,East,347.0
90,49.0,89.4,30,2,257.6,Silver,North,183.0
9,29.0,37.1,78,18,20.9,Gold,South,92.0
14,33.0,34.1,90,21,54.2,Gold,East,146.0
60,20.0,45.8,83,23,105.2,Platinum,North,7.0
174,30.0,58.4,63,14,230.4,Gold,West,105.0
132,33.0,55.2,59,12,144.2,Platinum,South,173.0
18,21.0,46.0,83,17,100.5,Gold,North,43.0
73,48.0,103.4,38,6,327.6,Silver,East,149.0
178,44.0,62.0,56,14,194.3,Silver,West,190.0
135,40.0,30.1,56,10,93.7,Silver,East,101.0
169,32.0,63.1,48,13,156.7,Platinum,West,329.0
186,23.0,48.3,63,18,147.4,Bronze,West,269.0
64,25.0,43.2,76,21,74.8,Gold,West,229.0
55,33.0,17.8,91,20,40.7,Platinum,West,63.0
108,45.0,74.7,36,9,276.9,Gold,South,192.0
51,18.0,46.0,100,24,19.2,Silver,West,308.0
199,34.0,30.5,57,9,109.9,Gold,South,315.0
170,35.0,58.5,84,9,128.8,Bronze,West,49.0
59,23.0,29.1,74,23,94.3,Silver,North,256.0
49,20.0,33.6,85,23,32.0,Gold,West,308.0
89,47.0,84.6,19,4,247.8,Gold,West,256.0
22,27.0,57.6,81,21,77.0,Gold,West,151.0
58,18.0,33.2,85,21,55.1,Gold,West,62.0
161,,48.8,60,10,132.6,Gold,East,38.0
195,33.0,46.8,68,9,132.2,Silver,North,271.0
130,43.0,52.6,39,4,327.8,Platinum,East,343.0
38,29.0,40.7,79,16,19.4,Platinum,North,263.0
158,39.0,65.0,64,11,83.6,Gold,South,8.0
191,31.0,59.2,47,17,146.7,Silver,West,288.0
2,23.0,54.0,87,60,101.7,Bronze,South,79.0
53,19.0,34.3,47,15,69.9,Platinum,North,231.0
150,28.0,57.2,52,9,93.7,Silver,East,139.0
131,44.0,68.5,57,7,252.9,Bronze,North,344.0
152,48.0,60.9,61,8,178.0,Gold,West,28.0
104,49.0,91.0,30,5,330.1,Gold,West,21.0
100,48.0,72.6,38,1,244.7,Gold,East,227.0
117,47.0,80.0,46,14,307.3,Silver,South,10.0
88,45.0,104.5,26,1,297.8,Silver,South,308.0
75,45.0,91.0,54,8,386.1,Platinum,East,314.0
122,56.0,75.7,27,1,359.8,Bronze,East,284.0
6,25.0,21.2,83,17,68.3,Platinum,South,288.0
21,18.0,30.0,76,16,73.5,Gold,East,60.0
189,25.0,65.5,66,11,223.9,Silver,North,351.0
72,38.0,84.8,37,6,266.9,Platinum,North,79.0
107,48.0,65.1,39,1,273.9,Bronze,North,105.0
15,27.0,53.5,79,26,5.0,Bronze,West,316.0
93,56.0,85.4,33,5,295.5,Platinum,South,196.0
180,36.0,53.0,61,16,117.3,Gold,South,266.0
103,46.0,84.4,37,1,276.9,Gold,North,42.0
